ride_id,wait_duration
0,0 days 00:03:00.012461
0,0 days 00:03:00.012461
2,0 days 00:02:00.022547
0,0 days 00:03:00.012461
2,0 days 00:02:00.022547
0,0 days 00:03:00.012461
2,0 days 00:02:00.022547
0,0 days 00:03:00.012461
2,0 days 00:02:00.022547
2,0 days 00:03:00.043494
0,0 days 00:01:00.064417
0,0 days 00:03:00.012461
2,0 days 00:02:00.022547
2,0 days 00:03:00.043494
0,0 days 00:01:00.064417
0,0 days 00:03:00.051493
2,0 days 00:01:00.076636
7,0 days 00:01:00.076876
0,0 days 00:03:00.012461
2,0 days 00:02:00.022547
2,0 days 00:03:00.043494
0,0 days 00:01:00.064417
0,0 days 00:03:00.051493
2,0 days 00:01:00.076636
7,0 days 00:01:00.076876
0,0 days 00:03:00.012461
2,0 days 00:02:00.022547
2,0 days 00:03:00.043494
0,0 days 00:01:00.064417
0,0 days 00:03:00.051493
2,0 days 00:01:00.076636
7,0 days 00:01:00.076876
7,0 days 00:02:00.088360
0,0 days 00:03:00.012461
2,0 days 00:02:00.022547
2,0 days 00:03:00.043494
0,0 days 00:01:00.064417
0,0 days 00:03:00.051493
2,0 days 00:01:00.076636
7,0 days 00:01:00.076876
7,0 days 00:02:00.088360
0,0 days 00:03:00.088489
2,0 days 00:02:00.100170
0,0 days 00:03:00.012461
2,0 days 00:02:00.022547
2,0 days 00:03:00.043494
0,0 days 00:01:00.064417
0,0 days 00:03:00.051493
2,0 days 00:01:00.076636
7,0 days 00:01:00.076876
7,0 days 00:02:00.088360
0,0 days 00:03:00.088489
2,0 days 00:02:00.100170
0,0 days 00:09:00.035666
0,0 days 00:02:00.108455
0,0 days 00:03:00.012461
2,0 days 00:02:00.022547
2,0 days 00:03:00.043494
0,0 days 00:01:00.064417
0,0 days 00:03:00.051493
2,0 days 00:01:00.076636
7,0 days 00:01:00.076876
7,0 days 00:02:00.088360
0,0 days 00:03:00.088489
2,0 days 00:02:00.100170
0,0 days 00:09:00.035666
0,0 days 00:02:00.108455
3,0 days 00:10:00.035750
0,0 days 00:09:00.043864
2,0 days 00:07:00.064045
7,0 days 00:04:00.100409
0,0 days 00:03:00.012461
2,0 days 00:02:00.022547
2,0 days 00:03:00.043494
0,0 days 00:01:00.064417
0,0 days 00:03:00.051493
2,0 days 00:01:00.076636
7,0 days 00:01:00.076876
7,0 days 00:02:00.088360
0,0 days 00:03:00.088489
2,0 days 00:02:00.100170
0,0 days 00:09:00.035666
0,0 days 00:02:00.108455
3,0 days 00:10:00.035750
0,0 days 00:09:00.043864
2,0 days 00:07:00.064045
7,0 days 00:04:00.100409
6,0 days 00:08:00.065046
8,0 days 00:06:00.087892
2,0 days 00:04:00.108086
7,0 days 00:02:00.132064
0,0 days 00:03:00.012461
2,0 days 00:02:00.022547
2,0 days 00:03:00.043494
0,0 days 00:01:00.064417
0,0 days 00:03:00.051493
2,0 days 00:01:00.076636
7,0 days 00:01:00.076876
7,0 days 00:02:00.088360
0,0 days 00:03:00.088489
2,0 days 00:02:00.100170
0,0 days 00:09:00.035666
0,0 days 00:02:00.108455
3,0 days 00:10:00.035750
0,0 days 00:09:00.043864
2,0 days 00:07:00.064045
7,0 days 00:04:00.100409
6,0 days 00:08:00.065046
8,0 days 00:06:00.087892
2,0 days 00:04:00.108086
7,0 days 00:02:00.132064
2,0 days 00:10:00.051122
0,0 days 00:08:00.077006
2,0 days 00:04:00.119620
0,0 days 00:03:00.012461
2,0 days 00:02:00.022547
2,0 days 00:03:00.043494
0,0 days 00:01:00.064417
0,0 days 00:03:00.051493
2,0 days 00:01:00.076636
7,0 days 00:01:00.076876
7,0 days 00:02:00.088360
0,0 days 00:03:00.088489
2,0 days 00:02:00.100170
0,0 days 00:09:00.035666
0,0 days 00:02:00.108455
3,0 days 00:10:00.035750
0,0 days 00:09:00.043864
2,0 days 00:07:00.064045
7,0 days 00:04:00.100409
6,0 days 00:08:00.065046
8,0 days 00:06:00.087892
2,0 days 00:04:00.108086
7,0 days 00:02:00.132064
2,0 days 00:10:00.051122
0,0 days 00:08:00.077006
2,0 days 00:04:00.119620
2,0 days 00:08:00.088120
7,0 days 00:06:00.108330
0,0 days 00:03:00.141455
2,0 days 00:03:00.141084
0,0 days 00:02:00.148758
2,0 days 00:02:00.148385
7,0 days 00:02:00.148635
7,0 days 00:01:00.161486
0,0 days 00:03:00.012461
2,0 days 00:02:00.022547
2,0 days 00:03:00.043494
0,0 days 00:01:00.064417
0,0 days 00:03:00.051493
2,0 days 00:01:00.076636
7,0 days 00:01:00.076876
7,0 days 00:02:00.088360
0,0 days 00:03:00.088489
2,0 days 00:02:00.100170
0,0 days 00:09:00.035666
0,0 days 00:02:00.108455
3,0 days 00:10:00.035750
0,0 days 00:09:00.043864
2,0 days 00:07:00.064045
7,0 days 00:04:00.100409
6,0 days 00:08:00.065046
8,0 days 00:06:00.087892
2,0 days 00:04:00.108086
7,0 days 00:02:00.132064
2,0 days 00:10:00.051122
0,0 days 00:08:00.077006
2,0 days 00:04:00.119620
2,0 days 00:08:00.088120
7,0 days 00:06:00.108330
0,0 days 00:03:00.141455
2,0 days 00:03:00.141084
0,0 days 00:02:00.148758
2,0 days 00:02:00.148385
7,0 days 00:02:00.148635
7,0 days 00:01:00.161486
0,0 days 00:08:00.100542
9,0 days 00:08:00.100013
0,0 days 00:05:00.132180
0,0 days 00:03:00.012461
2,0 days 00:02:00.022547
2,0 days 00:03:00.043494
0,0 days 00:01:00.064417
0,0 days 00:03:00.051493
2,0 days 00:01:00.076636
7,0 days 00:01:00.076876
