ride_id,wait_duration
0,25.248
2,141.619
3,190.141
6,393.643
4,266.985
5,331.554
11,718.99
14,907.002
13,847.868
16,1063.514
17,1155.075
19,1364.483
20,1448.515
22,1644.983
24,1823.41
25,1935.203
27,2125.608
28,2202.208
29,2296.963
31,2516.551
35,2878.182
38,3157.074
43,3642.141
46,3937.821
51,4414.543
53,4613.099
54,4731.213
57,5100.292
58,5204.663
62,5615.392
64,5846.888
68,6290.346
67,6184.383
69,6411.84
71,6683.095
75,7162.426
77,7434.919
79,7742.877
81,8023.396
82,8203.091
84,8515.525
86,8867.649
88,9340.855
89,9683.046
90,10124.14
94,11294.537
93,11096.371
95,11522.464
0,27.033
2,201.52
3,277.684
6,483.411
4,344.339
5,394.269
11,809.764
14,1022.986
13,918.658
16,1165.411
17,1258.544
19,1505.801
20,1661.528
22,1875.342
24,2086.55
25,2211.724
27,2493.355
28,2615.581
29,2818.287
31,3303.322
35,4216.998
38,4946.909
43,5732.341
46,6268.519
51,7093.413
53,7454.729
54,7649.091
57,8248.082
58,8416.012
62,9100.732
64,9467.627
68,10246.678
67,10028.139
69,10439.977
71,10864.782
75,11663.299
77,12098.603
79,12557.904
81,12991.734
82,13229.51
84,13727.967
86,14219.61
88,14702.255
89,14955.088
90,15198.266
94,16151.036
93,15911.709
95,16476.938
99,17485.489
97,16980.989
0,89.577
2,27212.529
3,27506.441
6,28549.047
4,27866.178
5,28188.684
11,30219.298
14,31275.976
13,30906.594
16,32032.865
17,32542.158
19,33261.707
20,33689.407
22,34491.232
24,35362.605
25,35778.755
27,36935.67
28,37370.527
29,37817.825
31,38590.516
35,40005.676
38,41294.055
43,43420.91
46,44678.81
51,46780.662
53,47613.255
54,48115.755
57,49433.104
58,49918.956
62,51913.89
64,52819.32
68,54634.916
67,54159.195
69,55122.035
71,56100.078
75,58025.253
77,58940.854
79,59846.594
81,60778.126
82,61310.535
84,62251.596
86,63287.042
88,64299.596
89,64828.576
90,65341.309
94,67276.996
93,66785.501
95,67833.302
