ride_id,wait_duration
0,25.248
2,141.619
3,190.141
6,393.643
4,266.985
5,331.554
11,718.99
14,907.002
13,847.868
16,1063.514
17,1155.075
19,1364.483
20,1448.515
22,1644.983
24,1823.41
25,1935.203
27,2125.608
28,2202.208
29,2296.963
31,2516.551
35,2878.182
38,3157.074
43,3642.141
46,3937.821
51,4414.543
53,4613.099
54,4731.213
57,5100.292
58,5204.663
62,5615.392
64,5846.888
68,6290.346
67,6184.383
69,6411.84
71,6683.095
75,7162.426
77,7434.919
79,7742.877
81,8023.396
82,8203.091
84,8515.525
86,8867.649
88,9340.855
89,9683.046
90,10124.14
94,11294.537
93,11096.371
95,11522.464
0,27.033
2,201.52
3,277.684
6,483.411
4,344.339
5,394.269
11,809.764
14,1022.986
13,918.658
16,1165.411
17,1258.544
19,1505.801
20,1661.528
22,1875.342
24,2086.55
25,2211.724
27,2493.355
28,2615.581
29,2818.287
31,3303.322
35,4216.998
38,4946.909
43,5732.341
46,6268.519
51,7093.413
53,7454.729
54,7649.091
57,8248.082
58,8416.012
62,9100.732
64,9467.627
68,10246.678
67,10028.139
69,10439.977
71,10864.782
75,11663.299
77,12098.603
79,12557.904
81,12991.734
82,13229.51
84,13727.967
86,14219.61
88,14702.255
89,14955.088
90,15198.266
94,16151.036
93,15911.709
95,16476.938
99,17485.489
97,16980.989
0,96.02
2,646.719
3,851.719
6,1534.497
4,1084.832
5,1286.937
11,3034.97
14,3776.232
13,3536.658
16,4343.592
0,88.466
2,64500.913
3,64812.456
6,65718.156
4,65114.012
5,65429.591
11,67193.587
14,68133.203
13,67794.299
16,69158.877
17,69719.56
19,70757.696
20,71234.769
22,72119.529
24,73063.004
25,73546.771
27,74524.251
28,75021.123
29,75560.013
31,76570.447
35,78590.117
38,80194.385
43,82894.949
46,84543.476
51,87505.982
53,90986.978
54,92493.858
57,95407.429
58,96509.985
62,100561.523
64,102817.05
68,108598.169
67,107528.172
69,109342.886
71,110788.947
75,113767.757
77,115421.564
79,117679.295
81,119383.15
82,120316.469
84,122181.72
86,123811.73
88,125454.492
89,126261.37
90,127111.253
94,130513.679
93,129730.711
95,131451.446
