ride_id,wait_duration
0,25.248
2,141.619
3,190.141
6,393.643
4,266.985
5,331.554
11,718.99
14,907.002
13,847.868
16,1063.514
17,1155.075
19,1364.483
20,1448.515
22,1644.983
24,1823.41
25,1935.203
27,2125.608
28,2202.208
29,2296.963
31,2516.551
35,2878.182
38,3157.074
43,3642.141
46,3937.821
51,4414.543
53,4613.099
54,4731.213
57,5100.292
58,5204.663
62,5615.392
64,5846.888
68,6290.346
67,6184.383
69,6411.84
71,6683.095
75,7162.426
77,7434.919
79,7742.877
81,8023.396
82,8203.091
84,8515.525
86,8867.649
88,9340.855
89,9683.046
90,10124.14
94,11294.537
93,11096.371
95,11522.464
